                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5393,                 5.4824,                 1.5958,                0.10696,                0.83333,                0.11961,                0.10791,                0.42188,                 5.4275,                0.73507,                  4e-05,                  4e-05,                  4e-05
                      2,                0.81194,                 2.3202,                 1.0458,                 0.9903,                      1,                  0.995,                0.95204,                0.30739,                 2.9798,                0.64404,              9.505e-05,              9.505e-05,              9.505e-05
                      3,                0.48144,                 1.4951,                0.94524,                0.99102,                      1,                  0.995,                0.88514,                0.42101,                 2.6045,                0.64106,             0.00014416,             0.00014416,             0.00014416
                      4,                0.50344,                 1.2818,                0.94153,                0.99406,                      1,                  0.995,                0.95104,                0.33067,                 2.4628,                0.61772,             0.00018733,             0.00018733,             0.00018733
                      5,                0.52428,                 1.0276,                0.97226,                0.96751,                      1,                  0.995,                0.97902,                0.34128,                 2.0985,                0.68386,             0.00022456,             0.00022456,             0.00022456
                      6,                0.49219,                0.97937,                0.94909,                0.41917,                      1,                  0.995,                0.94537,                0.40109,                  2.902,                0.79432,             0.00025585,             0.00025585,             0.00025585
                      7,                0.43103,                0.77002,                 0.9137,                0.25212,                      1,                0.83944,                0.73572,                0.51707,                 4.4672,                0.84549,              0.0002812,              0.0002812,              0.0002812
                      8,                0.48671,                0.79131,                0.95771,                0.22536,                      1,                0.28429,                0.25908,                0.47166,                 4.9481,                 0.8415,             0.00030061,             0.00030061,             0.00030061
                      9,                0.47027,                0.72963,                 0.9358,                0.24486,                      1,                0.55357,                0.54286,                0.39085,                 3.5012,                 0.7334,             0.00031408,             0.00031408,             0.00031408
                     10,                0.50745,                0.64404,                0.92978,                0.33313,                      1,                  0.995,                0.94266,                0.39799,                 2.5197,                0.67884,             0.00032161,             0.00032161,             0.00032161
                     11,                0.36357,                  1.107,                0.81345,                0.27771,                      1,                0.76161,                0.72328,                0.45545,                 4.3679,                0.69314,              0.0003232,              0.0003232,              0.0003232
                     12,                0.35361,                0.78096,                0.84453,                0.25776,                      1,                0.25957,                0.23767,                0.48172,                 5.3366,                 0.6877,             0.00031885,             0.00031885,             0.00031885
                     13,                0.36848,                0.69358,                0.77634,                 0.9833,                      1,                  0.995,                0.92267,                0.42651,                 1.0725,                0.68536,             0.00030856,             0.00030856,             0.00030856
                     14,                 0.3657,                0.64665,                0.81007,                0.99073,                      1,                  0.995,                0.95864,                 0.3856,                0.78478,                 0.7184,             0.00029233,             0.00029233,             0.00029233
                     15,                0.35758,                 0.6276,                0.81579,                0.98833,                      1,                  0.995,                 0.9067,                0.36524,                0.71401,                0.71818,             0.00027016,             0.00027016,             0.00027016
                     16,                0.40505,                0.59695,                 0.8554,                0.98572,                      1,                  0.995,                0.91059,                0.37761,                 0.6068,                0.72035,             0.00024205,             0.00024205,             0.00024205
                     17,                 0.3581,                0.67343,                0.84527,                0.98717,                      1,                  0.995,                0.91133,                0.41102,                0.62899,                0.72376,               0.000208,               0.000208,               0.000208
                     18,                0.31672,                0.51068,                0.79938,                0.99069,                      1,                  0.995,                0.93606,                0.42368,                0.58028,                0.74704,             0.00016801,             0.00016801,             0.00016801
                     19,                0.31254,                 0.4766,                0.78854,                0.99166,                      1,                  0.995,                0.93946,                0.40879,                0.56205,                0.69554,             0.00012208,             0.00012208,             0.00012208
                     20,                0.32686,                0.48031,                0.78654,                0.99225,                      1,                  0.995,                0.95544,                0.39009,                0.53347,                 0.6705,              7.021e-05,              7.021e-05,              7.021e-05
